^Wire_Count_Section_DESC;NumberOfCores;CoreCrossSection;OuterDiameter
_04_1_00;4;1;10
_04_1_50;4;1.5;10
_04_2_50;4;2.5;10
_04_4_00;4;4;10
_04_6_00;4;6;10
_05_0_75;5;0.75;10
_05_1_00;5;1;10
_05_1_50;5;1.5;10
_05_2_50;5;2.5;10
_07_0_75;7;0.75;10
_07_1_00;7;1;10
_07_1_50;7;1.5;10
_07_2_50;7;2.5;10
_07_4_00;7;4;10
_07_6_00;7;6;10
_10_0_75;10;0.75;10
_10_1_00;10;1;10
_10_1_50;10;1.5;10
_10_2_50;10;2.5;10
_10_4_00;10;4;10
_10_6_00;10;5;10
_14_0_75;10;0.75;10
_14_1_00;10;1;10
_14_1_50;10;1.5;10
_14_2_50;10;2.5;10
_19_0_75;10;0.75;10
_19_1_00;10;1;10
_19_1_50;10;1.5;10
_19_2_50;10;2.5;10
_27_0_75;10;0.75;10
_27_1_00;10;1;10
_27_1_50;10;1.5;10
_27_2_50;10;2.5;10
_37_1_00;10;1;10
_37_1_50;10;1.5;10
_37_2_50;10;2.5;10
