^Wire_Count_Section_DESC;NumberOfCores;CoreCrossSection;OuterDiameter
_04_0_75;4;0.75;7.6
_04_1_00;4;1;8
_04_1_50;4;1.5;9.2
_04_2_50;4;2.5;10.1
_04_4_00;4;4;11.7
_04_6_00;4;6;12.9
_05_0_75;5;0.75;8.3
_05_1_00;5;1;9.3
_05_1_50;5;1.5;9.9
_05_2_50;5;2.5;10.9
_07_0_75;7;0.75;9.5
_07_1_00;7;1;10
_07_1_50;7;1.5;10.7
_07_2_50;7;2.5;11.8
_07_4_00;7;4;13.9
_07_6_00;7;6;15.4
_10_0_75;10;0.75;11.7
_10_1_00;10;1;12.3
_10_1_50;10;1.5;13.2
_10_2_50;10;2.5;14.8
_10_4_00;10;4;17.5
_10_6_00;10;5;19.9
_14_0_75;14;0.75;12.6
_14_1_00;14;1;13.3
_14_1_50;14;1.5;14.3
_14_2_50;14;2.5;16
_19_0_75;19;0.75;13.9
_19_1_00;19;1;14.7
_19_1_50;19;1.5;15.8
_19_2_50;19;2.5;17.7
_27_0_75;27;0.75;16.3
_27_1_00;27;1;17.3
_27_1_50;27;1.5;19.1
_27_2_50;27;2.5;21.5
_37_0_75;37;0.75;18.6
_37_1_00;37;1;19.7
_37_1_50;37;1.5;21.3
_37_2_50;37;2.5;24.4
